_id,activity_id,classification,end_date,location,notes,source_id,start_date,status,small_area,geo_point_2d,json_geometry_geometry,latitude,longitude,prototype_relevance,prototype_relevance_reason,source_dataset
1,SS-1094323-0-108589-EHD-Permit Issued-231120210700-080820221900,Structures,2022-08-08,"124-134 Russell Street
MELBOURNE VIC 3000",Hoarding,EHD-2021-93,2021-11-23,CONFIRMED,Melbourne (CBD),"-37.81324619965848, 144.9686437019243","{""coordinates"": [[[144.9685797842, -37.8134248213], [144.9688373541, -37.8133508046], [144.9687076377, -37.8130671474], [144.9684498427, -37.813142364], [144.9685797842, -37.8134248213]]], ""type"": ""Polygon""}",-37.81324619965848,144.9686437019243,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
2,SS-1114649-0-108571-ECW-Consent Issued-090520220700-120520221900,Structures,2022-05-12,"274 Russell Street
MELBOURNE VIC 3000",ePathway Consent for works,ECW-2022-153,2022-05-09,Confirmed,Melbourne (CBD),"-37.81001892279232, 144.9671262721701","{""coordinates"": [[[144.9672326082, -37.8100109359], [144.967214284, -37.8099713895], [144.9670199191, -37.8100268628], [144.9670384495, -37.810066466], [144.9672326082, -37.8100109359]]], ""type"": ""Polygon""}",-37.81001892279232,144.9671262721701,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
3,SS-1112882-0-104568-ESP-Referred to ESG-240520220700-200620221900,Structures,2022-06-20,"3B Haines Street
NORTH MELBOURNE VIC 3051",Space Occupancy on Footpath,ESP-2022-171,2022-05-24,PROPOSED,North Melbourne,"-37.79912323439255, 144.94995352698322","{""coordinates"": [[[144.9500100256, -37.7992336194], [144.9500428086, -37.7990070505], [144.9500244225, -37.7990000301], [144.9499074884, -37.7989877932], [144.9498624567, -37.7992656511], [144.9500100256, -37.7992336194]]], ""type"": ""Polygon""}",-37.79912323439255,144.94995352698322,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
4,WO-884522-1425057-1425057-61-Closed-011120210000-300620222359,Traffic Management,2022-06-30,Collins Street between Swanston Street and Elizabeth Street,-,884522,2021-11-01,CONFIRMED,Melbourne (CBD),"-37.81592759093241, 144.96522044730128","{""coordinates"": [[[144.9664158144, -37.8156098419], [144.966390456, -37.8155538005], [144.9663848949, -37.8155554374], [144.9663859254, -37.8155577487], [144.9663468155, -37.8155687056], [144.9663549161, -37.815587827], [144.9663136493, -37.815608291], [144.9658788665, -37.815736205], [144.9657885749, -37.8157610784], [144.9657766643, -37.8157332273], [144.9642400932, -37.8161792115], [144.9642664865, -37.8162335851], [144.9651227809, -37.8159855921], [144.9651196013, -37.8159685914], [144.9651212606, -37.8159643422], [144.9651259907, -37.8159607084], [144.9653038603, -37.8159083743], [144.965309066, -37.8159081416], [144.9653150783, -37.8159105994], [144.9653234547, -37.8159263696], [144.9653273417, -37.8159255555], [144.9664158144, -37.8156098419]], [[144.9642637988, -37.816185497], [144.9642613921, -37.8161844037], [144.9642595816, -37.8161803036], [144.9642640015, -37.8161754317], [144.9643307919, -37.8161560549], [144.9643346236, -37.8161561338], [144.9643394763, -37.8161592844], [144.9643389331, -37.8161642116], [144.9643353379, -37.816166233], [144.9642685474, -37.8161856106], [144.9642637988, -37.816185497]]], ""type"": ""Polygon""}",-37.81592759093241,144.96522044730128,Excluded,Excluded because source classification is Traffic Management.,City of Melbourne – City Activities and Planned Works
5,SS-1078568-0-103627-EGA-Permit Issued-070820210000-080820221900,Structures,2022-08-08,"104-110 Exhibition Street
MELBOURNE VIC 3000",Gantry,EGA-2021-61,2021-08-07,CONFIRMED,Melbourne (CBD),"-37.81308861764766, 144.97136205426054","{""coordinates"": [[[144.971522758, -37.8131325186], [144.9714478635, -37.812972422], [144.9712017173, -37.8130450606], [144.9712752851, -37.8132044298], [144.971522758, -37.8131325186]]], ""type"": ""Polygon""}",-37.81308861764766,144.97136205426054,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
6,SS-1116025-0-105679-ESL-Permit Issued-100520220700-200520221900,Structures,2022-05-20,"131-137 Lonsdale Street
MELBOURNE VIC 3000",Scissor Lift/Travel Tower/Boom Lift,ESL-2022-253,2022-05-10,CONFIRMED,Melbourne (CBD),"-37.81096693148473, 144.9685359986355","{""coordinates"": [[[144.9686032838, -37.8108247303], [144.9684922491, -37.8105872624], [144.968281202, -37.8106491511], [144.9683878027, -37.8108852496], [144.9684535198, -37.8110307961], [144.9685066755, -37.8111485219], [144.96854543, -37.8112343545], [144.9686467143, -37.8114586727], [144.9687298577, -37.8114343964], [144.968630923, -37.8112118725], [144.9686743352, -37.8112005069], [144.9687603449, -37.8111779877], [144.9686032838, -37.8108247303]]], ""type"": ""Polygon""}",-37.81096693148473,144.9685359986355,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
7,SS-1107475-0-101326-EGA-Permit Issued-100320220700-250520221900,Structures,2022-05-25,"4-18 Brougham Street
NORTH MELBOURNE VIC 3051",Gantry,EGA-2022-14,2022-03-10,CONFIRMED,North Melbourne,"-37.7934017913381, 144.94628897139762","{""coordinates"": [[[144.9464830777, -37.7936966923], [144.946515832, -37.7935042829], [144.946684636, -37.793361505], [144.9462801673, -37.7930399283], [144.9459733566, -37.7932887102], [144.9460437681, -37.7933166905], [144.946033088, -37.7933990953], [144.9459750944, -37.7935420926], [144.9459583816, -37.7936382757], [144.9464830777, -37.7936966923]]], ""type"": ""Polygon""}",-37.7934017913381,144.94628897139762,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
8,SS-1041662-0-105752-ECZ-Permit Issued-140220220700-140820222359,Structures,2022-08-14,"150 Lonsdale Street
MELBOURNE VIC 3000",Construction Zone,ECZ-2020-46,2022-02-14,CONFIRMED,Melbourne (CBD),"-37.81033158444287, 144.96768021733178","{""coordinates"": [[[144.9678853589, -37.8103080793], [144.9677871516, -37.8100932633], [144.9674050489, -37.8102032878], [144.9675754443, -37.8105710767], [144.9679543948, -37.8104590914], [144.9678853589, -37.8103080793]]], ""type"": ""Polygon""}",-37.81033158444287,144.96768021733178,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
9,SS-1114110-0-110106-ECROH-Permit Issued-140520220000-150520222359,Structures,2022-05-15,"Metropolitan Hotel
263-267 William Street
MELBOURNE VIC 3000",Crane / Out of Hours Permit,ECROH-2022-39,2022-05-14,CONFIRMED,Melbourne (CBD),"-37.81291081131579, 144.95658969298094","{""coordinates"": [[[144.9567761617, -37.812915325], [144.9567293761, -37.8128128687], [144.9564033663, -37.8129070261], [144.9564482095, -37.8130083512], [144.9567761617, -37.812915325]]], ""type"": ""Polygon""}",-37.81291081131579,144.95658969298094,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
10,SS-1079739-0-593729-EGA-Permit Issued-180820210700-170820221900,Structures,2022-08-17,"60 Waterfront Way
DOCKLANDS VIC 3008",Gantry,EGA-2021-65,2021-08-18,CONFIRMED,Docklands,"-37.812195975570226, 144.93941705204935","{""coordinates"": [[[144.9387065073, -37.8122553796], [144.9391189548, -37.812936888], [144.9391366493, -37.8129661272], [144.9391758744, -37.8130309375], [144.9400255284, -37.8127072931], [144.9401928075, -37.8126435723], [144.9399535229, -37.8122482015], [144.9400835382, -37.8121986758], [144.9403228244, -37.8125940463], [144.9405008535, -37.8125262308], [144.9401842615, -37.8120029989], [144.9401555871, -37.8119595402], [144.9401231603, -37.811917774], [144.9400871413, -37.811877905], [144.9400477031, -37.8118401255], [144.9400050405, -37.8118046218], [144.9399593588, -37.8117715651], [144.9399108819, -37.8117411171], [144.9398598464, -37.811713426], [144.9389264647, -37.8112442462], [144.9388479465, -37.8113434319], [144.939251707, -37.8115463904], [144.9385071009, -37.8118291053], [144.9384760122, -37.8118132618], [144.9384549932, -37.8118398127], [144.9385221343, -37.8119507276], [144.9386884189, -37.8122254909], [144.9387065073, -37.8122553796]], [[144.9398341405, -37.8118568287], [144.9399186743, -37.8119262696], [144.940009462, -37.8120762793], [144.939879447, -37.812125805], [144.9397386698, -37.8118931959], [144.9398341405, -37.8118568287]]], ""type"": ""Polygon""}",-37.81219597557023,144.93941705204935,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
11,SS-1111000-0-109679-EGA-Permit Issued-090420220000-311220222359,Structures,2022-12-31,"23-29 Victoria Street
MELBOURNE VIC 3000",Gantry,EGA-2022-26,2022-04-09,CONFIRMED,Melbourne (CBD),"-37.80731084379545, 144.9668244334155","{""coordinates"": [[[144.966639957, -37.8071901475], [144.9665908418, -37.8074727557], [144.9671296593, -37.8073164756], [144.96714235, -37.8072437922], [144.966639957, -37.8071901475]]], ""type"": ""Polygon""}",-37.80731084379545,144.9668244334155,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
12,SS-1117150-0-108617-EBN-Permit Issued-100520220700-160520221900,Structures,2022-05-16,"Royce Hotel
375-385 St Kilda Road
MELBOURNE VIC 3004",ePathway Bins & Skips,EBN-2022-595,2022-05-10,CONFIRMED,Melbourne (Remainder),"-37.83505435855502, 144.97551965266953","{""coordinates"": [[[144.9758206017, -37.8352112525], [144.97581328, -37.8351944459], [144.9758146814, -37.8351681196], [144.9758698717, -37.8349274113], [144.9751263641, -37.8348276162], [144.9751901271, -37.8349505229], [144.9752576946, -37.8350721441], [144.9753290229, -37.835192407], [144.975404071, -37.8353112379], [144.9758206017, -37.8352112525]]], ""type"": ""Polygon""}",-37.83505435855502,144.97551965266953,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
13,SS-1113476-0-105502-EHD-Permit Issued-160420220000-151020222359,Structures,2022-10-15,"86-108 Laurens Street
NORTH MELBOURNE VIC 3051",Hoarding,EHD-2021-55/2,2022-04-16,CONFIRMED,North Melbourne,"-37.80294806874347, 144.94188166953603","{""coordinates"": [[[144.9422025386, -37.8027339], [144.9416480266, -37.8026784282], [144.9415612141, -37.8031615731], [144.942114166, -37.8032186681], [144.9422025386, -37.8027339]]], ""type"": ""Polygon""}",-37.80294806874347,144.94188166953603,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
14,SS-1114327-0-101142-EGA-Permit Issued-010520220000-310520221900,Structures,2022-05-31,"309-325 Bourke Street
MELBOURNE VIC 3000",Gantry,EGA-2021-59/5,2022-05-01,CONFIRMED,Melbourne (CBD),"-37.81444090140548, 144.96453826103547","{""coordinates"": [[[144.9645569095, -37.8139786073], [144.9644080941, -37.8140177294], [144.9643550223, -37.8140316813], [144.9641490398, -37.8140858323], [144.9643231452, -37.8144671768], [144.9643332043, -37.8144892106], [144.9645158258, -37.8148891987], [144.9645245124, -37.8149082249], [144.964799508, -37.814830272], [144.9647947123, -37.8148196724], [144.964831395, -37.8148092743], [144.9648361907, -37.8148198739], [144.9648966158, -37.8148027451], [144.9649260263, -37.8147944084], [144.9645569095, -37.8139786073]]], ""type"": ""Polygon""}",-37.81444090140548,144.96453826103547,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
15,SS-1102756-0-110099-ECW-Consent Issued-080520220000-050620222359,Structures,2022-06-05,"195 William Street
MELBOURNE VIC 3000",ePathway Consent for works,ECW-2022-31,2022-05-08,Confirmed,Melbourne (CBD),"-37.81462324037049, 144.9570467209343","{""coordinates"": [[[144.9570394471, -37.8144741598], [144.9569660208, -37.8144949565], [144.956948414, -37.8144564178], [144.9569336369, -37.8144605609], [144.9569172249, -37.8144248302], [144.9565334653, -37.8145343179], [144.9566505774, -37.8147891154], [144.9567032305, -37.8149036681], [144.9571008457, -37.8147900713], [144.9571762009, -37.814768542], [144.9571857723, -37.8147891485], [144.9575836664, -37.8146755215], [144.9574368043, -37.814361618], [144.9570394471, -37.8144741598]]], ""type"": ""Polygon""}",-37.81462324037049,144.9570467209343,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
16,SS-1114297-0-107153-ESLOH-Permit Issued-020520220700-130520221900,Structures,2022-05-13,"111-149 Nicholson Street
CARLTON VIC 3053",Scissor Lift / Out of Hours,ESLOH-2022-47/1,2022-05-02,CONFIRMED,Carlton,"-37.79729505576789, 144.97444365578176","{""coordinates"": [[[144.9741433184, -37.7968039595], [144.9740545305, -37.7973250226], [144.9740601437, -37.7973256256], [144.9739950663, -37.7977075407], [144.974741638, -37.7977876011], [144.9748948836, -37.796884239], [144.9741433184, -37.7968039595]]], ""type"": ""Polygon""}",-37.79729505576789,144.97444365578176,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
17,SS-1089537-0-107428-ECW-Further Information Requested-161020210000-311220222359,Structures,2022-12-31,"369 The Avenue
PARKVILLE VIC 3052",ePathway Consent for works,ECW-2021-537,2021-10-16,PROPOSED,Parkville,"-37.77820002107555, 144.95917883155286","{""coordinates"": [[[144.9589633426, -37.7782403884], [144.9592533982, -37.7784092867], [144.9594516408, -37.7782161829], [144.9591916442, -37.7780406668], [144.9589840553, -37.7780153487], [144.9589703066, -37.7781001034], [144.9589857964, -37.7781019714], [144.9589633426, -37.7782403884]]], ""type"": ""Polygon""}",-37.77820002107555,144.95917883155286,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
18,SS-1114563-0-105720-EGA-Pending Payment-040520220700-150520222359,Structures,2022-05-15,"594-610 Lonsdale Street
MELBOURNE VIC 3000",Gantry,EGA-2021-104/1,2022-05-04,PROPOSED,Melbourne (CBD),"-37.814186399609824, 144.9543019709443","{""coordinates"": [[[144.9544252501, -37.8139233479], [144.9542113237, -37.8139845501], [144.9539929315, -37.8140470288], [144.9541790578, -37.8144494164], [144.9546107113, -37.8143260352], [144.9544252501, -37.8139233479]]], ""type"": ""Polygon""}",-37.814186399609824,144.9543019709443,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
19,WO-721357-1425157-1425157-61-Closed-100120220000-300620222359,Traffic Management,2022-06-30,Rainbow Alley from Little Collins Street,-,721357,2022-01-10,CONFIRMED,Melbourne (CBD),"-37.813950344174316, 144.96630995030935","{""coordinates"": [[[144.9661847068, -37.8136025906], [144.9661270661, -37.8136190561], [144.9661939725, -37.8137714742], [144.9662634396, -37.813929723], [144.9663609306, -37.814151812], [144.9663692961, -37.8141493566], [144.9663698222, -37.814149226], [144.9663701913, -37.814149144], [144.9663707338, -37.8141490381], [144.9663711093, -37.8141489743], [144.9663716579, -37.8141488945], [144.9663720385, -37.8141488497], [144.9663725909, -37.814148798], [144.9663729778, -37.8141487713], [144.9663735306, -37.8141487466], [144.9663739193, -37.8141487389], [144.9663744724, -37.8141487422], [144.9663748617, -37.8141487534], [144.966375413, -37.8141487827], [144.9663757995, -37.8141488137], [144.9663763466, -37.814148871], [144.9663767315, -37.81414892], [144.9663772744, -37.8141490041], [144.9663776531, -37.814149072], [144.9663781874, -37.8141491821], [144.9663785621, -37.8141492697], [144.9663790866, -37.8141494058], [144.9663794517, -37.8141495103], [144.9663799653, -37.8141496724], [144.9663803232, -37.8141497949], [144.9663808224, -37.8141499819], [144.9663811684, -37.8141501213], [144.9663816522, -37.8141503324], [144.9663819876, -37.8141504896], [144.9663824537, -37.8141507229], [144.966382775, -37.8141508961], [144.9663832223, -37.8141511525], [144.9663835295, -37.8141513417], [144.9663839558, -37.8141516194], [144.9663842479, -37.8141518227], [144.966384652, -37.8141521208], [144.9663849267, -37.8141523382], [144.9663853064, -37.8141526556], [144.9663855637, -37.8141528854], [144.9663859168, -37.8141532213], [144.9663861567, -37.8141534634], [144.9663864832, -37.814153816], [144.9663867035, -37.8141540703], [144.9663870012, -37.8141544377], [144.9663872007, -37.8141547016], [144.9663874686, -37.8141550829], [144.9663876473, -37.8141553563], [144.9663878853, -37.8141557507], [144.9663880411, -37.8141560327], [144.9663882505, -37.8141564347], [144.9664676896, -37.8143329025], [144.9664992178, -37.8143240071], [144.9664949655, -37.8143142533], [144.9665008668, -37.8143126348], [144.9665001234, -37.8143117433], [144.9664984122, -37.8143094014], [144.9664968658, -37.8143070118], [144.9664955789, -37.814304733], [144.9664945372, -37.8143027874], [144.9664932577, -37.8143004006], [144.9664348512, -37.8141713924], [144.9664347026, -37.8141709708], [144.9664335266, -37.8141662212], [144.9664334783, -37.8141659509], [144.9664329534, -37.8141613188], [144.9664329623, -37.8141573528], [144.9664333586, -37.8141535063], [144.9664341796, -37.814149585], [144.9664342794, -37.8141493011], [144.9664359687, -37.8141453632], [144.9664361201, -37.8141451027], [144.9664375834, -37.8141429021], [144.9664345013, -37.8141358747], [144.9664152887, -37.8140935823], [144.9664137165, -37.8140939976], [144.9664126429, -37.8140942098], [144.96641223, -37.8140942693], [144.9664113053, -37.8140943552], [144.9664108345, -37.8140943723], [144.9664099773, -37.8140943575], [144.9664090291, -37.814094305], [144.9664086089, -37.814094259], [144.9664079778, -37.814094158], [144.9664070956, -37.8140939779], [144.9664062792, -37.8140937592], [144.96640545, -37.8140934682], [144.9664046941, -37.8140931551], [144.9664043219, -37.8140929747], [144.9664036271, -37.8140925851], [144.9664032388, -37.8140923306], [144.9664027559, -37.8140919627], [144.9664025095, -37.8140917539], [144.9664019127, -37.8140911902], [144.9664016478, -37.8140909054], [144.9664012404, -37.8140903973], [144.9664010588, -37.8140901418], [144.9664005959, -37.8140892948], [144.9663993855, -37.8140866659], [144.9664106566, -37.8140833875], [144.9663360203, -37.8139190991], [144.9663241842, -37.813922521], [144.9663205892, -37.8139142744], [144.9662511127, -37.8137549108], [144.9661847068, -37.8136025906]], [[144.9663142468, -37.8139730252], [144.9661607113, -37.8136345824], [144.966162423, -37.8136340929], [144.9663179787, -37.8139769881], [144.9663162659, -37.8139774776], [144.9663142468, -37.8139730252]]], ""type"": ""Polygon""}",-37.81395034417432,144.96630995030935,Excluded,Excluded because source classification is Traffic Management.,City of Melbourne – City Activities and Planned Works
20,SS-1108587-0-641141-ECW-Consent Extended-210420220700-270520221900,Structures,2022-05-27,"13-15 Childers Street
KENSINGTON VIC 3031",ePathway Consent for works,ECW-2022-90,2022-04-21,Confirmed,Kensington,"-37.799528253164446, 144.92713129171898","{""coordinates"": [[[144.9271475816, -37.7994627502], [144.9270365239, -37.7995267963], [144.9270039176, -37.7995456002], [144.9271961102, -37.7995748506], [144.9272322916, -37.7995533654], [144.9272256152, -37.7995460773], [144.9271475816, -37.7994627502]]], ""type"": ""Polygon""}",-37.799528253164446,144.92713129171898,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
21,SS-1101931-0-108589-ECW-Consent Issued-280120220700-280720221900,Structures,2022-07-28,"124-134 Russell Street
MELBOURNE VIC 3000",ePathway Consent for works,ECW-2022-18,2022-01-28,Confirmed,Melbourne (CBD),"-37.81324619965848, 144.9686437019243","{""coordinates"": [[[144.9685797842, -37.8134248213], [144.9688373541, -37.8133508046], [144.9687076377, -37.8130671474], [144.9684498427, -37.813142364], [144.9685797842, -37.8134248213]]], ""type"": ""Polygon""}",-37.81324619965848,144.9686437019243,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
22,WO-721357-1425272-1425272-61-Closed-100120220000-300620222359,Traffic Management,2022-06-30,Bourke Street between Russell Street and Swanston Street,-,721357,2022-01-10,CONFIRMED,Melbourne (CBD),"-37.812968296835955, 144.9673213360542","{""coordinates"": [[[144.9679323153, -37.8128144047], [144.9679076289, -37.8127602352], [144.9672469723, -37.8129537297], [144.9672465412, -37.8129538736], [144.9672460891, -37.8129540794], [144.9672456723, -37.8129543282], [144.9672452986, -37.8129546155], [144.9672449729, -37.812954937], [144.9672446997, -37.8129552882], [144.9672444838, -37.8129556639], [144.9672443287, -37.8129560578], [144.9672442369, -37.8129564635], [144.9672442097, -37.8129568758], [144.9672442462, -37.8129572864], [144.9672443475, -37.812957691], [144.9672444764, -37.8129580032], [144.9672472514, -37.8129640115], [144.9672475894, -37.8129648185], [144.9672477017, -37.8129651133], [144.9672479756, -37.8129659354], [144.9672480639, -37.8129662352], [144.9672482739, -37.8129670697], [144.9672483372, -37.8129673727], [144.967248481, -37.8129682151], [144.9672485215, -37.8129685213], [144.9672485982, -37.8129693697], [144.9672486136, -37.8129696764], [144.9672486244, -37.8129705273], [144.9672486159, -37.8129708354], [144.9672485585, -37.8129716842], [144.9672485263, -37.81297199], [144.9672484032, -37.812972835], [144.967248346, -37.8129731395], [144.967248156, -37.8129739761], [144.9672480762, -37.8129742775], [144.9672478207, -37.8129751031], [144.967247716, -37.8129753996], [144.9672473973, -37.8129762115], [144.9672472689, -37.8129765021], [144.967246887, -37.8129772967], [144.9672467372, -37.8129775807], [144.9672462923, -37.8129783552], [144.96724612, -37.8129786307], [144.9672456155, -37.8129793817], [144.9672454219, -37.8129796487], [144.967244859, -37.8129803734], [144.9672446452, -37.8129806311], [144.9672440264, -37.812981326], [144.9672437925, -37.8129815725], [144.96724312, -37.8129822359], [144.967242867, -37.8129824703], [144.9672421432, -37.8129830995], [144.9672418736, -37.8129833201], [144.967241102, -37.8129839133], [144.9672408146, -37.812984121], [144.9672399974, -37.8129846746], [144.9672396945, -37.8129848677], [144.9672388353, -37.81298538], [144.9672385181, -37.8129855575], [144.9672376203, -37.8129860268], [144.9672372899, -37.8129861887], [144.967236357, -37.8129866133], [144.9672360134, -37.8129867579], [144.96723505, -37.812987136], [144.9672346954, -37.8129872641], [144.9672337027, -37.8129875939], [144.9672332274, -37.8129877335], [144.9664942492, -37.8132050307], [144.966506441, -37.8132316953], [144.9665069446, -37.8132327989], [144.9679323153, -37.8128144047]], [[144.9678259605, -37.8128438707], [144.9678255945, -37.8128437959], [144.9678251646, -37.8128436479], [144.96782471, -37.8128434508], [144.9678244033, -37.812843286], [144.9678240658, -37.8128430404], [144.9678237349, -37.8128427635], [144.9678235017, -37.8128425251], [144.9678231911, -37.8128420467], [144.9678230557, -37.8128417659], [144.9678229345, -37.8128412546], [144.9678229041, -37.8128409576], [144.9678229369, -37.8128405869], [144.967822992, -37.8128403175], [144.9678230793, -37.8128400351], [144.9678231876, -37.8128397729], [144.9678234051, -37.8128394225], [144.967823622, -37.8128390937], [144.9678238374, -37.8128388586], [144.9678240658, -37.8128386481], [144.967824392, -37.8128383942], [144.9678247341, -37.8128381802], [144.9678251624, -37.8128379695], [144.9678255076, -37.8128378511], [144.9678987754, -37.8128163293], [144.9678991775, -37.8128162497], [144.9678995457, -37.812816202], [144.9679000569, -37.8128161982], [144.9679007639, -37.8128162654], [144.9679011312, -37.8128163357], [144.9679015635, -37.8128164766], [144.967902024, -37.8128166674], [144.9679023342, -37.8128168287], [144.9679026775, -37.8128170689], [144.9679030131, -37.8128173415], [144.967903252, -37.8128175763], [144.967903573, -37.8128180505], [144.9679037141, -37.8128183295], [144.9679038478, -37.8128188392], [144.967903884, -37.8128191354], [144.967903859, -37.8128195072], [144.9679038096, -37.8128197767], [144.9679037291, -37.812820061], [144.9679036265, -37.8128203241], [144.9679034169, -37.8128206774], [144.9679032067, -37.812821009], [144.9679030004, -37.8128212434], [144.9679027741, -37.8128214602], [144.9679024535, -37.8128217187], [144.9679020581, -37.8128219679], [144.9679017449, -37.812822122], [144.9679014152, -37.8128222569], [144.9678281333, -37.8128437937], [144.9678275463, -37.812843908], [144.9678271771, -37.8128439502], [144.9678266649, -37.8128439468], [144.9678259605, -37.8128438707]]], ""type"": ""Polygon""}",-37.81296829683596,144.9673213360542,Excluded,Excluded because source classification is Traffic Management.,City of Melbourne – City Activities and Planned Works
23,WO-721357-1425163-1425163-61-Closed-100120220000-300620222359,Traffic Management,2022-06-30,Bourke Street between Russell Street and Swanston Street,-,721357,2022-01-10,CONFIRMED,Melbourne (CBD),"-37.8130854663906, 144.96725450361868","{""coordinates"": [[[144.9666555459, -37.8132768192], [144.9667075744, -37.8132616064], [144.9670846754, -37.8131513395], [144.9671424419, -37.8131344485], [144.9679654684, -37.8128937838], [144.9679682939, -37.812893354], [144.9679547763, -37.8128636928], [144.9665293887, -37.8132820924], [144.9665299204, -37.8132832479], [144.9665422156, -37.8133099575], [144.9666555459, -37.8132768192]]], ""type"": ""Polygon""}",-37.8130854663906,144.96725450361868,Excluded,Excluded because source classification is Traffic Management.,City of Melbourne – City Activities and Planned Works
24,SS-1117265-0-615526-ECW-Application Lodged-300520220700-300620221900,Structures,2022-06-30,"100 McConnell Street
KENSINGTON VIC 3031",ePathway Consent for works,ECW-2022-184,2022-05-30,PROPOSED,Kensington,"-37.79303236298949, 144.92863910591046","{""coordinates"": [[[144.9288144296, -37.7930155491], [144.9284674345, -37.7930079419], [144.9284669233, -37.7930510865], [144.9288186839, -37.7930548601], [144.9288144296, -37.7930155491]]], ""type"": ""Polygon""}",-37.79303236298949,144.92863910591046,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
25,SS-1109228-0-106942-ECP-Application on-hold-170520220700-170520221900,Structures,2022-05-17,"141 Nicholson Street
CARLTON VIC 3053",Concrete Pump,ECP-2022-43,2022-05-17,Confirmed,Carlton,"-37.79709064109178, 144.97461519737323","{""coordinates"": [[[144.9745548024, -37.7969317142], [144.9745034707, -37.7972311063], [144.9746755922, -37.7972495677], [144.9747269243, -37.7969501765], [144.9745548024, -37.7969317142]]], ""type"": ""Polygon""}",-37.79709064109178,144.97461519737325,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
26,SS-1108031-0-105752-EHD-Permit Issued-010220220700-310520221900,Structures,2022-05-31,"150 Lonsdale Street
MELBOURNE VIC 3000",Hoarding,EHD-2020-65/2,2022-02-01,CONFIRMED,Melbourne (CBD),"-37.81033158444287, 144.96768021733178","{""coordinates"": [[[144.9678853589, -37.8103080793], [144.9677871516, -37.8100932633], [144.9674050489, -37.8102032878], [144.9675754443, -37.8105710767], [144.9679543948, -37.8104590914], [144.9678853589, -37.8103080793]]], ""type"": ""Polygon""}",-37.81033158444287,144.96768021733178,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
27,SS-1108908-0-105693-ECW-Consent Extended-010620220700-290720221900,Structures,2022-07-29,"217-231 Lonsdale Street
MELBOURNE VIC 3000",ePathway Consent for works,ECW-2022-96,2022-06-01,Confirmed,Melbourne (CBD),"-37.81174593712917, 144.96589276160395","{""coordinates"": [[[144.9659142281, -37.8121235388], [144.9659478012, -37.8121965887], [144.9659502496, -37.8121958677], [144.9659774406, -37.8122546579], [144.9661909934, -37.8121919768], [144.9660685234, -37.8119289825], [144.9660343067, -37.8118555034], [144.9662040409, -37.811806632], [144.9661047243, -37.8115918712], [144.9661463372, -37.8115791201], [144.9660256854, -37.8113176711], [144.9656009679, -37.8114428123], [144.9656000609, -37.8114430796], [144.9656892903, -37.8116382183], [144.9655083288, -37.8116910612], [144.9655084199, -37.8116912592], [144.9656382737, -37.8119721961], [144.9658203576, -37.8119192877], [144.9659142281, -37.8121235388]]], ""type"": ""Polygon""}",-37.81174593712917,144.96589276160395,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
28,SS-1116833-0-102530-ECW-Consent Issued-120520220700-130620221900,Structures,2022-06-13,"216-218 Domain Road
SOUTH YARRA VIC 3141",ePathway Consent for works,ECW-2022-177,2022-05-12,Confirmed,South Yarra,"-37.83408553310626, 144.98454307756828","{""coordinates"": [[[144.9846948533, -37.8340296051], [144.9847231044, -37.8338915131], [144.9847198671, -37.8338910981], [144.9844735404, -37.8338595242], [144.9844457473, -37.8338754011], [144.9843624884, -37.8342790426], [144.9846320035, -37.8343126412], [144.9846365275, -37.8343132053], [144.9846948533, -37.8340296051]]], ""type"": ""Polygon""}",-37.83408553310626,144.98454307756828,Excluded,Excluded because source classification is Structures.,City of Melbourne – City Activities and Planned Works
